"mbeanName","attributeName","attributeType","compositeAttributeName"
"java.lang:type=Threading","ThreadAllocatedMemorySupported","boolean"
"java.lang:type=Threading","CurrentThreadCpuTimeSupported","boolean"
"java.lang:type=Threading","ObjectMonitorUsageSupported","boolean"
"java.lang:type=Threading","SynchronizerUsageSupported","boolean"
"java.lang:type=Threading","ThreadContentionMonitoringEnabled","boolean"
"java.lang:type=Threading","ThreadContentionMonitoringSupported","boolean"
"java.lang:type=Threading","ThreadCpuTimeEnabled","boolean"
"java.lang:type=Threading","DaemonThreadCount","int"
"java.lang:type=Threading","PeakThreadCount","int"
"java.lang:type=Threading","AllThreadIds","[J"
"java.lang:type=Threading","CurrentThreadCpuTime","long"
"java.lang:type=Threading","CurrentThreadUserTime","long"
"java.lang:type=Threading","ThreadCount","int"
"java.lang:type=Threading","TotalStartedThreadCount","long"
"java.lang:type=Threading","ThreadCpuTimeSupported","boolean"
"java.lang:type=Threading","ObjectName","javax.management.ObjectName"
"java.lang:type=OperatingSystem","CommittedVirtualMemorySize","long"
"java.lang:type=OperatingSystem","FreePhysicalMemorySize","long"
"java.lang:type=OperatingSystem","FreeSwapSpaceSize","long"
"java.lang:type=OperatingSystem","ProcessCpuLoad","double"
"java.lang:type=OperatingSystem","ProcessCpuTime","long"
"java.lang:type=OperatingSystem","SystemCpuLoad","double"
"java.lang:type=OperatingSystem","TotalPhysicalMemorySize","long"
"java.lang:type=OperatingSystem","TotalSwapSpaceSize","long"
"java.lang:type=OperatingSystem","Name","java.lang.String"
"java.lang:type=OperatingSystem","Version","java.lang.String"
"java.lang:type=OperatingSystem","AvailableProcessors","int"
"java.lang:type=OperatingSystem","SystemLoadAverage","double"
"java.lang:type=OperatingSystem","Arch","java.lang.String"
"java.lang:type=OperatingSystem","ObjectName","javax.management.ObjectName"
"java.lang:name=Code Cache,type=MemoryPool","Name","java.lang.String"
"java.lang:name=Code Cache,type=MemoryPool","Type","java.lang.String"
"java.lang:name=Code Cache,type=MemoryPool","Valid","boolean"
"java.lang:name=Code Cache,type=MemoryPool","CollectionUsageThreshold","long"
"java.lang:name=Code Cache,type=MemoryPool","CollectionUsageThresholdCount","long"
"java.lang:name=Code Cache,type=MemoryPool","MemoryManagerNames","[Ljava.lang.String;"
"java.lang:name=Code Cache,type=MemoryPool","PeakUsage","javax.management.openmbean.CompositeData","committed"
"java.lang:name=Code Cache,type=MemoryPool","PeakUsage","javax.management.openmbean.CompositeData","init"
"java.lang:name=Code Cache,type=MemoryPool","PeakUsage","javax.management.openmbean.CompositeData","max"
"java.lang:name=Code Cache,type=MemoryPool","PeakUsage","javax.management.openmbean.CompositeData","used"
"java.lang:name=Code Cache,type=MemoryPool","Usage","javax.management.openmbean.CompositeData","committed"
"java.lang:name=Code Cache,type=MemoryPool","Usage","javax.management.openmbean.CompositeData","init"
"java.lang:name=Code Cache,type=MemoryPool","Usage","javax.management.openmbean.CompositeData","max"
"java.lang:name=Code Cache,type=MemoryPool","Usage","javax.management.openmbean.CompositeData","used"
"java.lang:name=Code Cache,type=MemoryPool","UsageThreshold","long"
"java.lang:name=Code Cache,type=MemoryPool","UsageThresholdCount","long"
"java.lang:name=Code Cache,type=MemoryPool","CollectionUsageThresholdExceeded","boolean"
"java.lang:name=Code Cache,type=MemoryPool","CollectionUsageThresholdSupported","boolean"
"java.lang:name=Code Cache,type=MemoryPool","UsageThresholdExceeded","boolean"
"java.lang:name=Code Cache,type=MemoryPool","UsageThresholdSupported","boolean"
"java.lang:name=Code Cache,type=MemoryPool","ObjectName","javax.management.ObjectName"
"java.nio:name=direct,type=BufferPool","Name","java.lang.String"
"java.nio:name=direct,type=BufferPool","Count","long"
"java.nio:name=direct,type=BufferPool","MemoryUsed","long"
"java.nio:name=direct,type=BufferPool","TotalCapacity","long"
"java.nio:name=direct,type=BufferPool","ObjectName","javax.management.ObjectName"
"java.lang:type=Compilation","Name","java.lang.String"
